angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.56,,"[222, 65, 152, 216]",,0.0,,0.04,,0.02,,0.09,,0.29,,0.0,
0.48,,"[225, 64, 150, 210]",,0.0,,0.03,,0.03,,0.05,,0.41,,0.0,
0.65,,"[213, 54, 161, 228]",,0.0,,0.02,,0.01,,0.05,,0.26,,0.0,
0.61,,"[212, 53, 162, 229]",,0.0,,0.02,,0.01,,0.06,,0.3,,0.0,
0.39,,"[228, 66, 151, 209]",,0.0,,0.04,,0.01,,0.12,,0.43,,0.0,
0.36,,"[220, 49, 161, 222]",,0.0,,0.03,,0.03,,0.22,,0.34,,0.01,
0.36,,"[220, 49, 161, 222]",,0.0,,0.03,,0.03,,0.22,,0.34,,0.01,
0.34,,"[230, 67, 148, 201]",,0.0,,0.05,,0.01,,0.07,,0.53,,0.0,
0.36,,"[230, 66, 147, 203]",,0.0,,0.04,,0.01,,0.06,,0.53,,0.0,
0.36,,"[230, 66, 147, 203]",,0.0,,0.04,,0.0,,0.06,,0.53,,0.0,
0.4,,"[220, 43, 162, 229]",,0.0,,0.02,,0.03,,0.21,,0.34,,0.01,
0.42,,"[223, 51, 156, 220]",,0.0,,0.02,,0.01,,0.18,,0.36,,0.01,
0.42,,"[223, 51, 156, 220]",,0.0,,0.02,,0.01,,0.18,,0.36,,0.01,
0.35,,"[223, 52, 154, 220]",,0.0,,0.03,,0.01,,0.17,,0.43,,0.0,
0.7,,"[219, 42, 156, 222]",,0.0,,0.01,,0.01,,0.12,,0.17,,0.0,
0.57,,"[219, 44, 156, 223]",,0.0,,0.02,,0.03,,0.15,,0.23,,0.0,
0.75,,"[218, 41, 158, 224]",,0.0,,0.01,,0.01,,0.09,,0.14,,0.0,
0.66,,"[214, 41, 157, 224]",,0.0,,0.01,,0.01,,0.18,,0.13,,0.0,
0.66,,"[214, 41, 157, 224]",,0.0,,0.01,,0.01,,0.18,,0.13,,0.0,
0.77,,"[204, 29, 174, 240]",,0.0,,0.01,,0.0,,0.04,,0.17,,0.0,
0.33,,"[231, 69, 131, 186]",,0.0,,0.04,,0.0,,0.14,,0.48,,0.0,
0.4,,"[213, 51, 150, 220]",,0.0,,0.02,,0.01,,0.24,,0.33,,0.0,
0.35,,"[232, 72, 129, 184]",,0.0,,0.04,,0.01,,0.18,,0.43,,0.0,
0.62,,"[206, 47, 152, 224]",,0.0,,0.02,,0.05,,0.16,,0.14,,0.01,
0.62,,"[206, 47, 152, 224]",,0.0,,0.02,,0.05,,0.16,,0.14,,0.01,
